Entity,Code,Year,Total doses (per 1M)
Afghanistan,AFG,2021,115755.505042
Afghanistan,AFG,2022,191906.779132
Afghanistan,AFG,2023,257612.024474
Albania,ALB,2021,819224.292681036
Albania,ALB,2022,254550.72297
Albania,ALB,2023,18696.662972
Algeria,DZA,2021,279453.16485345
Algeria,DZA,2022,56337.4090274
Andorra,AND,2021,1488999.91359
Andorra,AND,2022,467648.256386
Andorra,AND,2023,8838.53677717
Angola,AGO,2021,322258.079914
Angola,AGO,2022,346775.96918
Angola,AGO,2023,111515.464115
Anguilla,AIA,2021,1488726.3616102
Anguilla,AIA,2022,265468.8147073
Anguilla,AIA,2023,27831.779221
Antigua and Barbuda,ATG,2021,1332436.48623
Antigua and Barbuda,ATG,2022,160224.75488
Argentina,ARG,2021,1702650.309049
Argentina,ARG,2022,780060.75456
Argentina,ARG,2023,87280.72393
Argentina,ARG,2024,4717.558237
Armenia,ARM,2021,567736.41405
Armenia,ARM,2022,179536.5992335
Armenia,ARM,2023,32746.7099194
Aruba,ABW,2021,1314129.86643
Aruba,ABW,2022,97848.10424
Aruba,ABW,2023,7096.29997175
Aruba,ABW,2024,144.29001139
Australia,AUS,2021,1617180.882004
Australia,AUS,2022,810539.46207
Australia,AUS,2023,230659.240424
Austria,AUT,2021,1829288.56322
Austria,AUT,2022,416078.31481999997
Austria,AUT,2023,13243.5313651
Azerbaijan,AZE,2021,1095043.64956
Azerbaijan,AZE,2022,251478.963419
Bahamas,BHS,2021,764092.89435
Bahamas,BHS,2022,155376.518926
Bahamas,BHS,2023,3135.504028
Bahrain,BHR,2021,2052787.16034
Bahrain,BHR,2022,178680.383024
Bangladesh,BGD,2021,722278.28259148
Bangladesh,BGD,2022,1254553.7471
Bangladesh,BGD,2023,158406.6711302153
Bangladesh,BGD,2024,400.6966138739
Barbados,BRB,2021,1066932.077299
Barbados,BRB,2022,290985.8366933
Barbados,BRB,2023,10553.65844203
Belarus,BLR,2021,906417.427298
Belarus,BLR,2022,1080949.00518
Belarus,BLR,2023,493602.81918
Belgium,BEL,2021,1852946.216276
Belgium,BEL,2022,680623.523612
Belgium,BEL,2023,168755.57339401
Belgium,BEL,2024,759.3072969
Belize,BLZ,2021,1060106.77395
Belize,BLZ,2022,187660.2908664
Belize,BLZ,2023,22846.4671958
Benin,BEN,2021,129257.104462
Benin,BEN,2022,174836.6406002
Bermuda,BMU,2021,1749837.68034
Bermuda,BMU,2022,324955.295106
Bermuda,BMU,2023,49045.19136
Bhutan,BTN,2021,1818207.490314
Bhutan,BTN,2022,1091225.025294
Bolivia,BOL,2021,798024.8842606
Bolivia,BOL,2022,417916.10591
Bonaire Sint Eustatius and Saba,BES,2021,993020.175
Bosnia and Herzegovina,BIH,2021,558099.49469
Bosnia and Herzegovina,BIH,2022,39044.6198
Botswana,BWA,2021,518100.23184
Botswana,BWA,2022,763100.9624985
Botswana,BWA,2023,20707.8585
Brazil,BRA,2021,1569311.8392817
Brazil,BRA,2022,714985.14008258
Brazil,BRA,2023,169296.99955399998
British Virgin Islands,VGB,2021,557286.66371
British Virgin Islands,VGB,2022,145546.939235
Brunei,BRN,2021,1934858.95024
Brunei,BRN,2022,893065.27279
Brunei,BRN,2023,15387.710442
Bulgaria,BGR,2021,537891.935635
Bulgaria,BGR,2022,136224.901455
Bulgaria,BGR,2023,17814.89018832
Bulgaria,BGR,2024,325.26423578
Burkina Faso,BFA,2021,49771.914529
Burkina Faso,BFA,2022,189821.945417253
Burkina Faso,BFA,2023,109921.35702
Burundi,BDI,2021,592.351069
Burundi,BDI,2022,1802.2497266999999
Burundi,BDI,2023,785.126486556
Cambodia,KHM,2021,1763007.736527
Cambodia,KHM,2022,864769.59498
Cambodia,KHM,2023,152438.600569
Cameroon,CMR,2021,36900.925977
Cameroon,CMR,2022,109323.220969
Cameroon,CMR,2023,30304.9011159
Canada,CAN,2021,1746713.82589
Canada,CAN,2022,731137.24313
Canada,CAN,2023,150095.004201
Canada,CAN,2024,20355.222379
Cape Verde,CPV,2021,1121436.96092
Cape Verde,CPV,2022,533486.69747
Cayman Islands,CYM,2021,1831968.52835
Cayman Islands,CYM,2022,260088.041669
Cayman Islands,CYM,2023,24895.9368595
Central African Republic,CAF,2021,103019.8971538
Central African Republic,CAF,2022,368812.6875964
Central African Republic,CAF,2023,182261.52655
Chad,TCD,2021,17455.203694
Chad,TCD,2022,257813.1006386
Chad,TCD,2023,220365.45806150002
Chile,CHL,2021,2241588.9282695
Chile,CHL,2022,960558.812651
Chile,CHL,2023,217084.9324668
China,CHN,2021,1959303.4298100001
China,CHN,2022,476389.193808
China,CHN,2023,28444.125073
Colombia,COL,2021,1241652.99556
Colombia,COL,2022,497222.95689000003
Colombia,COL,2023,19152.728366
Comoros,COM,2021,676893.45174
Comoros,COM,2022,311429.189136
Congo,COG,2021,123415.895109
Congo,COG,2022,12694.5178432
Cook Islands,COK,2021,1544103.56733
Cook Islands,COK,2022,1041196.1072719999
Cook Islands,COK,2023,3111.52864
Costa Rica,CRI,2021,1528594.103405
Costa Rica,CRI,2022,958697.98781
Costa Rica,CRI,2023,183245.21103
Cote d'Ivoire,CIV,2021,222113.901658
Cote d'Ivoire,CIV,2022,565624.04627
Cote d'Ivoire,CIV,2023,40503.47713
Croatia,HRV,2021,1198051.14457
Croatia,HRV,2022,170715.417364
Croatia,HRV,2023,19222.27232342
Cuba,CUB,2021,2559472.4723
Cuba,CUB,2022,1117021.5916
Cuba,CUB,2023,283873.24187
Cuba,CUB,2024,13729.096844
Curacao,CUW,2021,1059534.06692
Curacao,CUW,2022,236888.563624
Curacao,CUW,2023,17281.09548
Cyprus,CYP,2021,1654490.30425
Cyprus,CYP,2022,254722.023893
Cyprus,CYP,2023,98916.49956099999
Czechia,CZE,2021,1439079.0678
Czechia,CZE,2022,303266.057871
Czechia,CZE,2023,39768.11485804
Czechia,CZE,2024,2046.9563451000001
Democratic Republic of Congo,COD,2021,3020.45854874
Democratic Republic of Congo,COD,2022,101080.967162
Democratic Republic of Congo,COD,2023,78148.29084
Denmark,DNK,2021,1983141.556695
Denmark,DNK,2022,545523.248737
Denmark,DNK,2023,5095.72345451
Djibouti,DJI,2021,107419.79636000001
Djibouti,DJI,2022,194367.69284
Djibouti,DJI,2023,317549.546597
Dominica,DMA,2021,876200.77148
Dominica,DMA,2022,144934.38145
Dominican Republic,DOM,2021,1252292.257328
Dominican Republic,DOM,2022,187965.671621
Dominican Republic,DOM,2023,23020.879881
East Timor,TLS,2021,879878.91589
East Timor,TLS,2022,569235.3543
East Timor,TLS,2023,33604.682244
Ecuador,ECU,2021,1537292.50196744
Ecuador,ECU,2022,668400.35041
Ecuador,ECU,2023,15504.3194158
Egypt,EGY,2021,484092.9766416
Egypt,EGY,2022,413107.371174
Egypt,EGY,2023,102898.016647
El Salvador,SLV,2021,1529746.89481
El Salvador,SLV,2022,273590.267314
El Salvador,SLV,2023,21725.646558
Equatorial Guinea,GNQ,2021,248225.059122
Equatorial Guinea,GNQ,2022,19588.409085
Estonia,EST,2021,1330191.04266
Estonia,EST,2022,225420.238168
Estonia,EST,2023,49152.5221096
Estonia,EST,2024,3113.8242973
Eswatini,SWZ,2021,336272.373788
Eswatini,SWZ,2022,325495.704609
Eswatini,SWZ,2023,59979.74704
Ethiopia,ETH,2021,84138.100815
Ethiopia,ETH,2022,338855.96602243
Ethiopia,ETH,2023,106630.494339
Falkland Islands,FLK,2021,1405034.5544
Faroe Islands,FRO,2021,1689789.58687
Faroe Islands,FRO,2022,161749.18627
Fiji,FJI,2021,1382179.52465
Fiji,FJI,2022,305996.842169
Fiji,FJI,2023,4047.7903210599998
Finland,FIN,2021,1707458.88647
